keyword,n_positions,local_quantity
lucky,4,603
lunar,4,128
mad-cow,4,8
mammoth,4,111
maple-brown,4,6
mardi-gras,4,26
mariposa,4,36
martin,4,2237
martini,4,109
marzonis,4,0
maverick,4,259
may,4,9119
mcauslan,4,0
mccoys,4,5
menage-a-trois,4,2
michel,4,533
michelob,4,6
middle-villa,4,0
minoh,4,0
mischief,4,22
mojo,4,64
monumental,4,50
moonshine,4,19
mora,4,149
morro-bay,4,3
mulholland,4,11
muller,4,240
mythos,4,52
nail,4,458
navidad,4,65
navigator,4,112
new-zealand,4,252
newport,4,419
nickel-brook,4,0
nitro-cream,4,0
no-name,4,22
noel,4,242
noire,4,196
northstar,4,21
nutcracker,4,23
