position_id,source,name,keyword,tier,optional,decision,reason,df,opt_recall
brands:00901,brands,Carling Cider,carling,drop,,drop,opt_recall<2,16,0
brands:00904,brands,Crispin Cider,crispin,drop,,drop,opt_recall<2,7,0
brands:00906,brands,Downeast Cider House,downeast,drop,,drop,opt_recall<2,10,0
brands:00907,brands,Doc’s Cider,docs,drop,,drop,DF>cap_pospolite,1896,0
brands:00908,brands,Fizz,fizz,drop,,drop,opt_recall<2,67,0
brands:00911,brands,Gaymer Cider Company,gaymer,drop,,drop,opt_recall<2,1,0
brands:00918,brands,Mercury Cider,mercury,drop,,drop,DF>cap_pospolite,329,0
brands:00921,brands,Orchard Pig,orchard-pig,drop,,drop,opt_recall<2,1,1
brands:00929,brands,Savanna Cider,savanna,drop,,drop,opt_recall<2,10,0
brands:00930,brands,Schneewittchen Cidre,schneewittchen,drop,,drop,opt_recall<2,2,0
brands:00933,brands,Stella Artois cider brand,stella-artois,drop,,drop,opt_recall<2,3,0
brands:00936,brands,Strongbow Cider,strongbow,drop,,drop,opt_recall<2,3,0
brands:00938,brands,Taunton Cider Company,taunton,drop,,drop,opt_recall<2,90,0
brands:00939,brands,Thatchers Cider,thatchers,drop,,drop,opt_recall<2,2,0
brands:00941,brands,Three Oaks Cider,three-oaks,drop,,drop,opt_recall<2,3,0
brands:00943,brands,White Star,white-star,drop,,drop,opt_recall<2,2,0
brands:00945,brands,Woodchuck Hard Cider,woodchuck,drop,,drop,opt_recall<2,1,0
brands:00946,brands,Woodpecker Cider,woodpecker,drop,,drop,opt_recall<2,19,0
brands:00948,brands,Alberta Premium,alberta-premium,drop,,drop,opt_recall<2,1,1
brands:00950,brands,Canadian Club,cc,smiec,,drop,token<=2,19957,0
brands:00951,brands,CEO,ceo,drop,,drop,DF>cap_pospolite,856,0
brands:00952,brands,Crown Royal,crown-royal,drop,,drop,opt_recall<2,4,0
brands:00957,brands,Pendleton,pendleton,drop,,drop,opt_recall<2,22,0
brands:00958,brands,Red Bank,red-bank,drop,,drop,opt_recall<2,18,0
brands:00960,brands,Signal Hill,signal-hill,drop,,drop,opt_recall<2,2,0
brands:00963,brands,Aker,aker,drop,,drop,opt_recall<2,7,0
brands:00964,brands,Angostura,angostura,keep,vermouth|vermut|bitters|rum|rhum,keep,required+optional@1,6,2
brands:00965,brands,Antica,antica,drop,,drop,opt_recall<2,37,0
brands:00967,brands,Aperol,aperol,drop,,drop,opt_recall<2,23,0
brands:00971,brands,Baldoria,baldoria,drop,,drop,opt_recall<2,1,0
brands:00972,brands,Barbadillo,barbadillo,drop,,drop,opt_recall<2,3,0
brands:00978,brands,Bordeaux,bordeaux,drop,,drop,DF>cap_pospolite,355,0
brands:00979,brands,Branca,branca,drop,,drop,opt_recall<2,69,0
brands:00980,brands,Breckenridge,breckenridge,drop,,drop,opt_recall<2,39,0
brands:00982,brands,Calissano,calissano,drop,,drop,opt_recall<2,2,0
brands:00986,brands,Cinzano,vermu,drop,,drop,opt_recall<2,11,0
brands:00989,brands,Cocchi,cocchi,drop,,drop,opt_recall<2,2,0
brands:00991,brands,Contratto,contratto,drop,,drop,DF>cap_pospolite,335,0
brands:00995,brands,Discarded,discarded,drop,,drop,opt_recall<2,10,0
brands:00997,brands,Dolin,dolin,drop,,drop,opt_recall<2,3,0
brands:00999,brands,Doppelganger,doppelganger,drop,,drop,opt_recall<2,9,0
brands:01009,brands,Forest Spirits,forest-spirits,drop,,drop,opt_recall<2,2,0
brands:01010,brands,Gancia,gancia,drop,,drop,opt_recall<2,2,0
brands:01018,brands,La Fuerza,la-fuerza,drop,,drop,opt_recall<2,26,0
brands:01020,brands,Levi,levi,drop,,drop,opt_recall<2,103,0
brands:01022,brands,Lillet,lillet,drop,,drop,opt_recall<2,5,0
brands:01023,brands,Lucano,lucano,drop,,drop,opt_recall<2,6,0
brands:01024,brands,Lustau,lustau,drop,,drop,opt_recall<2,1,0
brands:01026,brands,Mancino,mancino,drop,,drop,opt_recall<2,3,0
brands:01027,brands,Martini,martini,drop,,drop,opt_recall<2,109,0
brands:01028,brands,Mattei,mattei,drop,,drop,opt_recall<2,6,0
brands:01030,brands,Midi,midi,drop,,drop,DF>cap_pospolite,603,0
brands:01031,brands,Mondino,mondino,drop,,drop,opt_recall<2,1,0
brands:01032,brands,Montenegro,montenegro,drop,,drop,opt_recall<2,77,0
brands:01035,brands,Nardini,nardini,drop,,drop,opt_recall<2,2,0
brands:01038,brands,Nonino,nonino,drop,,drop,opt_recall<2,1,0
brands:01040,brands,Otto's,ottos,drop,,drop,opt_recall<2,2,0
brands:01044,brands,Picon,picon,drop,,drop,opt_recall<2,23,0
brands:01052,brands,Rinomato,rinomato,drop,,drop,opt_recall<2,3,0
brands:01055,brands,Sacred,sacred,drop,,drop,DF>cap_pospolite,206,0
brands:01056,brands,Sagrado,sagrado,drop,,drop,opt_recall<2,22,0
brands:01057,brands,Santoni,santoni,drop,,drop,opt_recall<2,3,0
brands:01058,brands,Sarti,sarti,drop,,drop,opt_recall<2,7,0
brands:01059,brands,Savoia,savoia,drop,,drop,opt_recall<2,18,0
brands:01060,brands,Scarpa,scarpa,drop,,drop,opt_recall<2,22,0
brands:01061,brands,Select,select,smiec,,drop,styl/generyk,829,0
brands:01064,brands,Somerset,somerset,drop,,drop,DF>cap_pospolite,242,0
