wikidata,name,aliases,types,makers,countries
Q4796382,Arsenal Cider House,,food manufacturer | factory | brewery,,
Q4801383,Artois Bock,,beer brand | alcohol brand,,
Q4803363,Asahi Point Zero,,food and beverage | liquid | drink,Asahi Breweries,Japan
Q4804247,Asgaard,,beer brand | alcohol brand,,
Q4824414,Australian Max Beer,,beer brand | alcohol brand,,
Q4838469,Babycham,,drink | alcoholic beverage | alcohol brand | drink brand | trademark,,
Q4838734,Bache-Gabrielsen,,legal person | organization | company,,
Q4840797,Baderbräu,,juridical person | organization | business,,
Q4842091,Bagpiper Whisky,,food and beverage | liquid | drink,United Spirits Limited,India
Q4851457,Ballarat Bitter,,beer brand | alcohol brand,,
Q4862940,Baron de Lestac,,,,
Q4865669,Barton Premium Blend,,liquid | drink | food and beverage,Sazerac Company,United States
Q4867178,Basil Hayden's,,alcohol brand | drink brand | trademark | alcoholic beverage,Suntory Global Spirits,United States
Q4873648,Bavarian Brewing Company,,brewery building | industrial building | food manufacturer | factory | brewery,,
Q4876166,Beam's Eight Star,,food and beverage | liquid | drink,Suntory Global Spirits,
Q4881549,Bejois Brandy,,,,
Q4883063,Bell's Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q4883072,Bell's whisky,,grain spirit | whisky | artificial object | brand,Diageo,Scotland
Q4894260,Bernheim Original,,grain whisky | wheat whiskey,Heaven Hill,Kentucky
Q4898977,Betty Stogs,,Homo sapiens | person | omnivore | natural person | human,,
Q4899643,Beverwyck Brewery,,legal person | organization | company,,
Q4899685,Bevo,,food and beverage | liquid | drink,Anheuser-Busch,
Q4906227,Big Rock Brewery,,enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,
Q4906360,Big Sky Brewing Company,,juridical person | organization | business,,
Q4907422,Bikkle,,object | product,Suntory,Japan
Q4912182,Billy Beer,,beer brand | alcohol brand,,
Q4916946,Birra Tirana,,food manufacturer | factory | brewery,,
Q4920219,Black & White,,alcohol brand | drink brand | trademark | alcoholic beverage,Diageo,Scotland
Q4921060,Black Isle Brewery,,food manufacturer | factory | brewery,,
Q4929585,Blue Nun,,alcoholic fruit beverage | fermented alcoholic beverage | wine | artificial object | brand,,Germany
Q4929639,Blue Point Brewing Company,,food manufacturer | factory | brewery,,
Q4930594,Bluetongue Brewery,,juridical person | organization | business,,
Q4931224,Boag's Brewery,,juridical person | organization | business,,
Q4936460,Bodegas Muga,,,,
Q4938519,Boizel,,champagne house | food manufacturer | winery,,
Q4941400,Bondi Blonde,,,,
Q4942799,Boodles British Gin,,alcohol brand | drink brand | trademark | alcoholic beverage,,England
Q4943172,Booker's,,food and beverage | liquid | drink,Suntory Global Spirits,Kentucky
Q4947502,Boss Coffee,,mark | trademark,,
Q4949920,Boundary Bay Brewing Company,,food manufacturer | factory | brewery,,
Q4956057,Bralirwa,,business | juridical person | organization | enterprise,,
Q4965887,Brick Brewing Company,,juridical person | organization | business | enterprise | joint-stock company | public company,,
Q4968538,Brisbane Bitter,,,,
Q4975805,Broughton Ales,,juridical person | organization | business,,
Q4979346,Bruno Paillard,,champagne house | food manufacturer | winery,,
Q4979602,Bruny Island Premium Wines,,viticulture plant | estate | winery,,
Q4982543,Buchanan's,,food and beverage | liquid | drink | alcohol brand | drink brand | trademark | alcoholic beverage,Diageo,Scotland
Q4985196,Budweiser American Ale,,alcohol brand | beer brand,,
Q4985656,Buffalo Bill's Brewery,,juridical person | organization | business,,
Q4993891,Solo,,artificial object | brand | sugary drink | non-alcoholic beverage | soft drink,Schweppes Australia | Asahi Breweries,Australia
Q30646830,Casamigos,,juridical person | organization | alcohol brand | drink brand | trademark | alcoholic beverage | business,,
Q30672233,Champagne Palmer & Co,,,,
Q4043762,Martinelli's,S. Martinelli & Co. | S. Martinelli & Company,organization | commercial organization,,
Q313542,Tsingtao Brewery,"Tsingtao Brewery Co.,Ltd. | Tsingtao Brewery Company Limited",enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,
Q347187,Dom Pérignon,Dom Perignon,mark | trademark | French wine | sparkling wine | champagne,Moët & Chandon,France
Q371068,Jack Daniel's,JD,business | enterprise | facility | architectural structure | factory | organization | distillery | juridical person,Brown-Forman,United States
Q458609,Dortmunder Actien Brauerei,DAB,business | juridical person | organization | food manufacturer | factory | brewery,,
Q498750,Bénédictine,Benedictine,spirit drink | liquor | mark | trademark,,
Q3088553,United Breweries Group,UB Group,business | juridical person | organization | food manufacturer | factory | brewery,,
Q3139487,Denominación de Origen,Denominacion de Origen,designation of origin | appellation,,Spain
Q3160378,Champagne Jacquesson & Fils,Jacquesson | Jacquesson & Fils,food manufacturer | winery | champagne house | corporate body | person or organization | group of humans | social system | complex system | organization,,
Q3175961,Jeanne Alexandrine Pommery,Louise Pommery | Jeanne Alexandrine Melin,Homo sapiens | person | omnivore | natural person | human,,
Q30687805,House of Hazelwood,,,,
Q31087525,Crowmoor,,cider brand | alcohol brand | alcoholic fruit beverage | fermented alcoholic beverage | cider | mark | trademark,Sinebrychoff,Finland
Q31193096,Ankara,,grain spirit | whisky,Tekel,Turkey
Q35026670,Don Papa Rum,,liquor | rum,,Philippines
Q35033820,Dzama (rhum),,artificial object | brand,,
Q39052663,Tijuana Sweet Heat,,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q39073708,Parce,,,,Colombia
Q39090785,Bold Rock Hard Cider,,,,
Q42317856,Swish Beverages,,legal person | organization | company,,
Q42847654,Hofmeister Lager,,alcohol brand | beer brand,,
Q48728936,Champagne Louis Nicaise,,,,
Q48733462,Hunter,,,,
Q48734723,Champagne Gauthier,,,,
Q48744052,Vilmart & Cie,,,,
Q48790891,Collective Arts Brewing,,food manufacturer | factory | brewery,,
Q48815011,STAR Lager,,drink | alcoholic beverage,,
Q48968776,Dictador,,artificial object | brand,,Colombia
Q45298,Gambrinus,,high fermentation beer | blond | mark | trademark,Plzeňský Prazdroj,
Q5451712,Fireball Cinnamon Whisky,Fireball Whisky,drink brand | trademark | alcoholic beverage | grain spirit | whisky | alcohol brand,Sazerac Company,Canada
Q5475421,Four Peaks Brewery,Four Peaks Brewing Company,mass caterer | facility | restaurant | food manufacturer | factory | brewery,,
Q5479504,Thatchers Cider,Thatcher Cider,legal person | organization | company | food manufacturer | factory | brewery,,
Q5516848,Gage Roads Brew Co,Gage Roads Brewing Company,juridical person | organization | business,,
Q5528879,Gaymer Cider Company,Gaymer cider | Gaymers cider,legal person | organization | company | food manufacturer | factory | brewery,,
Q5532712,Genesee Brewing Company,Genesee Brewery | High Falls Brewing Company,juridical person | organization | business | food manufacturer | factory | brewery,,
Q5596912,Granville Island Brewing,Granville Island Brewing Company,juridical person | organization | business | food manufacturer | factory | brewery,,
Q5600142,Great Wall Wine,COFCO Great Wall Winery,juridical person | organization | business,,
Q5641640,Half Acre Beer,Half Acre Beer Company,food manufacturer | factory | brewery,,
Q5694665,Heaven Hill,"Heaven Hill Distilleries, Inc.",juridical person | organization | business | distillery | whisky distillery,,United States
Q5699030,Heidsieck & Co,Heidsieck & Co Monopole,food manufacturer | winery | champagne house,,
Q5750772,Hibiki,Hibiki Harmony Whisky,drink brand | trademark | alcoholic beverage | alcohol brand,Suntory,Japan
Q6120868,Jacques Selosse,Champagne Jacques Selosse,juridical person | organization | business,,
Q6123460,Kingway Brewery,Kingway Brewery Holdings Limited,juridical person | organization | business,,
Q6286885,Joseph Schlitz Brewing Company,Schlitz,mark | trademark,,
Q6372286,Karl Strauss Brewing Company,Karl Strauss,pub chain | brewpub | brewery | juridical person | organization | business | brewpub chain | food manufacturer | factory,,
Q6395366,Ketel One,Ketel,drink | alcoholic beverage,,
Q55530589,-196˚C Strong Zero,Strong Zero,hard seltzer | alcoholic beverage | chūhai,Suntory,
Q55605114,Beavertown Brewery,Beavertown Brewing,food manufacturer | factory | brewery,,
Q56279443,White Claw Hard Seltzer,White Claw,artificial object | brand,,
Q57243865,Kizlyar Brandy Factory,Kizlyarsky konyachny zavod,juridical person | organization | business | enterprise,,
Q610672,Budweiser,Bud,low fermentation beer | lager | alcohol brand | beer brand,Anheuser-Busch InBev,Czech Republic
Q642721,Barceló (rum),Barcelo | Ron Barcelo,juridical person | organization | business,,
Q5042847,Carlow Brewing Company,O'Hara's Brewing Company,food manufacturer | factory | brewery,,
Q5042950,Carlton & United Breweries,CUB | Carlton and United Breweries,beer professional | artisan | brewer | legal person | organization | company,,
Q5082471,Charles Shaw wine,Two Buck Chuck,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q5084016,Charles de Cazanove,Cazanove Champagne | De Cazanove Champagne,food manufacturer | winery | champagne house,,
Q5092052,Chernihiv Brewery,Chernihivske,mark | trademark | juridical person | organization | business,,
Q5109935,Christian Moerlein Brewing Co.,Moerlein | Christian Moerlein Brewing Company | Moerlein Brewing,juridical person | organization | business,,
Q5171808,Cornish Cyder Farm,Healey's Cornish Cyder | Healey's Cornish Cyder Farm | Healey's Cyder Farm | Healeys Cyder,juridical person | organization | business,,
Q5192313,Cucapá Beer,Cerveceria de Baja California | Cucapa Beer,alcohol brand | beer brand,,
Q5222553,Tuborg Red,Rød Tuborg,alcohol brand | beer brand,Tuborg Brewery | Carlsberg Group,Denmark
Q5244791,De Venoge,Champagne de Venoge | De Venoge,food manufacturer | winery | champagne house,,
Q5315799,Dunville & Co,Dunville & Co.,facility | architectural structure | factory | organization | distillery | juridical person | business,,
Q5317600,Duval-Leroy,Champagne Duval-Leroy,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q5374850,Emu Brewery,Albion Brewery | Stanley Brewery,food manufacturer | factory | brewery | industrial facility | facility | industrial building | architectural structure | organization,,
Q511602,Madame Clicquot Ponsardin,"Widow Clicquot | Veuve Clicquot | Barbe-Nicole Clicquot-Ponsardin | Barbe-Nicole Clicquot-Ponsardin Veuve Clicquot | Barbe-Nicole Ponsardin | Clicquot-Ponsardin | Madame Clicquot | Madame Clicquot, née Ponsardin | Veuve Clicquot-Ponsardin",Homo sapiens | person | omnivore | natural person | human,,
Q532084,Bass Brewery,Bass Brewers | The Bass Brewery,organization | business | juridical person,,
Q562552,Oettinger Brewery,Oettinger Beer,food manufacturer | factory | brewery | juridical person | organization | business,,
Q568797,Radeberger Brewery,Radeberger,food manufacturer | factory | brewery,,
Q581796,Brugal,"Brugal & Co. | Brugal & Co., C. por A.",juridical person | organization | business,,
Q585992,Southern Comfort,SoCo,mark | trademark | drink brand | alcoholic beverage | alcohol brand,,United States
Q595750,Cerveza Quilmes,Quilmes cerveza,mark | trademark | alcohol brand | beer brand,Cervecería y Maltería Quilmes,
Q601859,Jever Brewery,Jever | Friesischen Brauhaus zu Jever,mark | trademark | food manufacturer | factory | brewery,,
Q608350,Veltins Brewery,Veltins,food manufacturer | factory | brewery,,
Q610350,Veuve Clicquot,Veuve Clicquot Ponsardin,food manufacturer | winery | legal person | organization | company | juridical person | business | champagne house,,
Q502268,Johnnie Walker,,whisky | Scotch whisky | mark | trademark | drink brand | alcoholic beverage | object | product | alcohol brand | distillery | whisky distillery,John Walker & Sons | Diageo,Scotland
Q502578,Cooley Distillery,,facility | architectural structure | factory | organization | distillery | whisky distillery | juridical person | business,,
Q504281,Solo,,artificial object | brand,,Spain | Norway
Q519297,Hpnotiq,,drink brand | trademark | alcoholic beverage | alcohol brand,Heaven Hill,France | United States
Q568684,Hacker-Pschorr Brewery,,mark | trademark | food manufacturer | factory | brewery,Paulaner Brewery,
Q584161,Berliner Weisse,,,,
Q595892,Taedonggang,,alcohol brand | beer brand,Taedonggang Brewing Company,
Q605830,Orangina,,artificial object | brand,,
Q618044,Apatinska Brewery,,food manufacturer | factory | brewery | juridical person | organization | business,,
Q618238,Aperol,,mark | trademark | food and beverage | liquid | drink,Campari Group,Italy
Q633355,Ayala & Co.,,viticulture plant | estate | winery,,
Q639631,Ardmore distillery,,distillery | whisky distillery,,
Q4996749,Bulleit Bourbon,,drink | alcoholic beverage,Diageo,United States
Q4997118,Bulmers,,juridical person | organization | business,,
Q4997755,Bunker Hill Breweries,,juridical person | organization | business,,
Q4999111,Burleigh Brewing Company,,food manufacturer | factory | brewery | juridical person | organization | business,,
Q5015440,Cabin Still,,bourbon whiskey | American whiskey,Heaven Hill,Kentucky
Q5017692,Cairngorm Brewery,,food manufacturer | factory | brewery,,
Q5019422,Caledonian Brewery,,juridical person | organization | business,,
Q5020360,California Cooler,,,,
Q5024250,Calvert Extra,,food and beverage | liquid | drink,Luxco,
Q5030332,Canadian Mist,,food and beverage | liquid | drink,Brown-Forman,
Q5042992,Carlton Draught,,food and beverage | liquid | drink,,
Q5044653,Carolans,,,,
Q5047491,Carupano,,,,
Q5047815,Casa Dragones,,,,
Q5048113,Cascade Brewery,,juridical person | organization | business,,
Q5050537,Castlemaine Perkins,,juridical person | organization | business,,
Q5069041,Chalone Vineyard,,viticulture plant | estate | winery,,
Q5069926,Champale,,,,
Q5072156,Changyu Winery,,enterprise | joint-stock company | public company | juridical person | organization | business,,
Q5078891,Charles Heidsieck,,viticulture plant | estate | winery,,
Q5084392,Charlie's,,juridical person | organization | business,,
Q5087232,Chase vodka,,,Chase Distillery,United Kingdom
Q5090036,Chelsea,,,,
Q5099843,China Pabst Blue Ribbon,,food manufacturer | factory | brewery,,
Q5105454,Choukachou,,,,
Q5119742,Cieszyn Brewery,,food manufacturer | factory | brewery,,
Q5134724,Clix Malt Liquor,,alcoholic beverage | malt liquor,Grand Valley Brewing Company,
Q5135067,Clontarf,,,,
Q5148853,Colorado Native Lager,,food and beverage | liquid | drink,AC Golden Brewing Company,United States
Q5149389,Colt 45,,alcoholic beverage | malt liquor,,United States
Q5149624,Columbia Brewery,,food manufacturer | factory | brewery,,
Q5168060,Coors Light,,beer | light beer | alcohol brand | beer brand,Coors Brewing Company,
Q5170775,Cork Dry Gin,,food and beverage | liquid | drink,Irish Distillers,
Q5173817,Corzo,,mark | trademark,,
Q5175569,Cottee's,,juridical person | organization | business,,
Q5186039,Crispin Hard Cider Company,,juridical person | organization | business,,
Q5189400,Crown Lager,,alcohol brand | beer brand,,Australia
Q5192303,Cuca beer,,,,
Q5267383,Devils Backbone Brewing Company,,microbrewery | pub | brewpub,,
Q5267702,Devon Cider Company,,juridical person | organization | business,,
Q5270850,Diamond Knot Brewing Company,,juridical person | organization | business,,
Q5293351,Don Q,,drink brand | trademark | alcoholic beverage | alcohol brand,Destilería Serrallés,
Q5299673,Double Brown,,alcohol brand | beer brand,,
Q5299727,Double Diamond Burton Ale,,,,
Q5307323,Drewry's,,alcohol brand | beer brand,,
Q5314801,Dundee Brewing Company,,legal person | organization | company,,
Q5317299,Dutch Gold,,food and beverage | liquid | drink,Anheuser-Busch InBev,
Q5321771,E. C. Dahls Brewery,,food manufacturer | factory | brewery,,
Q5324773,E & J Gallo Winery,,viticulture plant | estate | winery | juridical person | organization | business,,
Q5325211,Eagle Rare,,artificial object | brand,,
Q5332295,Ecco Domani,,,,
Q5352241,El Tesoro tequila,,,,
Q5360905,Elijah Craig,,American whiskey | bourbon whiskey,Heaven Hill,Kentucky
Q5368560,Elysian Brewing Company,,pub chain | brewpub | brewery | brewpub chain | food manufacturer | factory,,
Q5374843,Emu,,alcohol brand | beer brand,Emu Brewery,
Q5400907,Presidente,,alcohol brand | beer brand,,
Q5413353,Jūrokucha,,,,
Q5421394,Explorer Vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q5423329,Ezra Brooks,,food and beverage | liquid | drink,Heaven Hill,Kentucky
Q5424508,FAT bastard,,,,
Q5431739,Falcon Brewery,,alcohol brand | beer brand | food manufacturer | factory | brewery,,
Q5436316,Farris,,mark | trademark,,
Q5443743,Feral Brewing Company,,juridical person | organization | business,,
Q5447883,Fighting Cock bourbon,,American whiskey | bourbon whiskey,Heaven Hill,United States
Q5454485,Fish Brewing Company,,food manufacturer | factory | brewery,,
Q5458524,Fleischmann's vodka,,,,
Q5472953,Forty Creek,,facility | architectural structure | factory | organization | distillery,,
Q5480483,Ron Santa Teresa,,juridical person | organization | business,,
Q5493055,Franzia,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q5493527,Frapin,,,,
Q5504672,Frisco,,artificial object | brand | food and beverage | liquid | drink,Plzeňský Prazdroj,Czech Republic
Q5506486,Fruli,,alcohol brand | beer brand,,
Q5507019,Fucking Hell,,alcohol brand | beer brand,,Germany
Q5532723,Genesee Cream Ale,,alcohol brand | beer brand | beer | cream ale,Genesee Brewing Company,United States
Q5545052,George T. Stagg,,drink brand | trademark | alcoholic beverage | alcohol brand,Sazerac Company,United States
Q5567537,Glen's Vodka,,,,Scotland
Q5584074,Goose Island Brewery,,food manufacturer | factory | brewery,,
Q5593495,Grain Belt,,alcohol brand | beer brand,,
Q5600188,Great Western Brewing Company,,juridical person | organization | business,,
Q5603215,Green Spot,,food and beverage | liquid | drink | grain spirit | whisky,Irish Distillers,Ireland
Q5616573,Guinness Black Lager,,low fermentation beer | lager,Diageo,
Q5616576,Guinness Foreign Extra Stout,,food and beverage | liquid | drink,Diageo,
Q5638877,Hahn Brewery,,juridical person | organization | business,,
Q5639068,Haig,,drink brand | trademark | alcoholic beverage | alcohol brand,,Scotland
Q5641331,Hale's Ales,,food manufacturer | factory | brewery,,
Q5645479,Hamlin's Wizard Oil,,,,
Q5647008,Hancock's President's Reserve,,drink brand | trademark | alcoholic beverage | alcohol brand,,United States
Q5648123,"Hangzhou Qiandaohu Beer Co., Ltd.",,food manufacturer | factory | brewery,,
Q5648533,Hankey Bannister,,blended whiskey | Scotch whisky | brand | blended Scotch whisky | food brand,Inver House Distillers,
Q5654196,Harar Brewery,,food manufacturer | factory | brewery,,
Q5699692,Heineken Premium Light,,alcohol brand | beer brand,Heineken International,
Q5713678,Hendrick's Gin,,drink brand | trademark | alcoholic beverage | jenever | gin | alcohol brand,William Grant & Sons,Scotland
Q5736222,Herbsaint,,drink brand | trademark | alcoholic beverage | alcohol brand,Sazerac Company,
Q5744184,Herrljunga drycker,,juridical person | organization | business,,
Q5876533,Hofbräuhaus Traunstein,,partnership | commandite company | food manufacturer | factory | brewery,,
Q5878569,Holba Brewery,,food manufacturer | factory | brewery,,
Q5880182,Holgate Brewhouse,,legal person | organization | company,,
Q5928368,Hudepohl Brewing Company,,business | juridical person | organization,,
Q5929134,Hue Beer,,juridical person | organization | business,,
Q5964303,Royal Club,,artificial object | brand,,
Q5985278,Ice Harbor Brewing Company,,juridical person | organization | business,,
Q6008710,InBev brands,,,,
Q6072399,Iron City Brewing Company,,juridical person | organization | business,,
Q6104382,J.T.S. Brown,,American whiskey | bourbon whiskey,Heaven Hill,United States
Q6106663,J. P. Chenet,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q6107487,J. Wray and Nephew Ltd.,,juridical person | organization | business,,
Q6119795,Jacobsen,,food manufacturer | factory | brewery,,
Q6141888,James Ready,,artificial object | brand,,
Q6169575,Jean-Marc XO Vodka,,,,France
Q6222524,John Boston,,Homo sapiens | person | omnivore | natural person | human,,
Q6284109,Joseph Huber Brewing Company,,food manufacturer | factory | brewery,,
Q6328576,KEO,,juridical person | organization | business,,
Q6342838,K,,alcoholic fruit beverage | fermented alcoholic beverage | cider,C&C Group,
Q6352338,Kalgoorlie Brewing and Ice Company,,juridical person | organization | business,,
Q6392264,Kentucky Gentleman,,drink brand | trademark | alcoholic beverage | alcohol brand,,United States
Q6392400,Kentucky Tavern,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q6412047,King Snedley's Beer,,alcohol brand | beer brand,,
Q6431472,Korbel Champagne Cellars,,viticulture plant | estate | winery,,
Q6433898,Kotayk Brewery,,juridical person | organization | business,,
Q6473070,Lagunitas Brewing Company,,food manufacturer | factory | brewery,,
Q6478896,Lakeport Brewing Company,,juridical person | organization | business,,
Q6480997,Lamb's,,,,
Q6481556,Lambrini,,fermented alcoholic beverage | perry,Halewood International,
Q54958146,Jackie O's Pub & Brewery,,food manufacturer | factory | brewery,,
Q55394493,Egly-Ouriet,,,,
Q55605224,Benoît Lahaye,,Homo sapiens | person | omnivore | natural person | human,,
Q55605497,Bira 91,,alcohol brand | beer brand,,India
Q55606946,Champion breweries,,brew | malt beverage | commodity | beer | food manufacturer | factory | brewery,,
Q55739163,Tynt Meadow,,abbey beer | Trappist beer,Mount St Bernard Abbey,
Q56278134,Étienne Doué,,,,
Q56278141,Henri Goutorbe,,,,
Q60746559,Rhinegeist,,food manufacturer | factory | brewery,,
Q60746802,Iron Hill Brewery & Restaurant,,food manufacturer | factory | brewery,,
Q60748152,Isle of Raasay Distillery,,factory | organization | distillery | facility | architectural structure,,
Q60770548,Tree House Brewing Company,,food manufacturer | factory | brewery,,
Q60776414,White Rhino,,food manufacturer | factory | brewery,,
Q60785137,Malfy Gin,,,,Italy
Q60791658,Pirate Life Brewing,,food manufacturer | factory | brewery,,
Q65072077,Hop House 13,,alcohol brand | beer brand,,
Q57401946,Cacique,Cacique Guaro,mark | trademark,,
Q51888,Laphroaig distillery,"Laphroaig Distillery, Islay | Laphraoig | Taigh-staile Laphraoig | Taigh-staile Laphroaig",distillery | whisky distillery,,
Q51905,Bowmore distillery,Bowmore | Bogh Mòr | Taigh-staile Bhogh Mhòir,distillery | whisky distillery,,
Q7197404,Pipeworks Brewing,Pipeworks Brewing Company,juridical person | organization | business,,
Q7205808,Plymouth Gin Distillery,"Black Friars Distillery | Coates Gin Distillery | The Distillery Public House | The Distillery Public House, Former Coates Gin Distillery",house | merchant's house | facility | architectural structure | factory | organization | distillery | commercial building | bar | pub,,
Q7304675,Red Oak Brewery,Red Oak,juridical person | organization | business,,
Q7312560,Renat,Renat Brännvin,drink brand | trademark | alcoholic beverage | liquor | vodka | alcohol brand,V&S Group,Sweden
Q7320356,Rheingold Brewery,Miss Rheingold contest | Rheingold Beers,juridical person | organization | business,,
Q7490280,Sharp's Brewery,Sharp's,food manufacturer | factory | brewery,,
Q7559791,Somersby cider,Somersby,alcohol brand | cider brand,,Denmark
Q7587890,St. Erhard,St.ERHARD® GmbH,alcohol brand | beer brand | food manufacturer | factory | brewery,,
Q7653424,Swan Brewery,Old Swan Brewery | Old Swan Brewery Precinct,architectural structure | building | human-geographic territorial entity | cultural property | cultural heritage | heritage site | juridical person | organization | business,,
Q7807560,Timothy Taylor's,Timothy Taylor Brewery | Timothy Taylor's & Co. Limited | Timothy Taylor's Championship Beers,juridical person | organization | business | food manufacturer | factory | brewery,,
Q697958,Rémy Martin,Remy Martin,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q698485,Taiwan Beer,台湾啤酒 | 台灣啤酒,mark | trademark,,
Q698957,Erdinger,Chelas alemanas,food manufacturer | factory | brewery,,Germany
Q699529,Moët & Chandon,Moët | Moët Chandon,corporate body | person or organization | group of humans | social system | complex system | organization | juridical person | business,,
Q720479,Asahi Breweries,"Asahi | Asahi Group Holdings | Asahi Bīru Kabushiki Gaisha | Asahi Breweries, Ltd.",food brand | drink brand | business | enterprise | juridical person | organization | food manufacturer | factory | brewery,,
Q734929,Aspall Cider,Aspall | Aspall Cyder | Aspall Cyder Ltd,legal person | organization | company | mark | trademark,,
Q742408,Becherovka,Karlsbader Becherbitter,mark | trademark,Jan Becher – Karlovarská Becherovka,Czech Republic
Q758604,Auchentoshan distillery,Auchentoshan,distillery | whisky distillery | mark | trademark,,
Q777721,Smirnoff,Smirnoff Vodka | Smirnov vodka,drink brand | trademark | alcoholic beverage | liquor | vodka | alcohol brand | juridical person | organization | business,Diageo,Russian Empire | Russia
Q795163,1664,Kronenbourg 1664,lager | pale lager | pilsner,Kronenbourg Brewery,France
Q6671394,Lone Star Brewing Company,Lone Star Beer | Lone Star Brewery | Lone Star Brewing,juridical person | organization | business | food manufacturer | factory | brewery,,
Q6749872,Manischewitz,"B. Manischewitz Company, LLC | R.A.B. Food Group, LLC | The Manischewitz Company",juridical person | organization | business,,
Q6773982,Marston's,Marston's Brewery,retail chain | pub chain | juridical person | organization | business | horeca chain | hotel chain | enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,
Q6804103,Meantime Brewery,Meantime Brewing Co. | Meantime Brewing Company,legal person | organization | company | food manufacturer | factory | brewery,,
Q6883400,Mitsuya Cider,Mitsuya Cider with squeezed lemon,mark | trademark,Asahi Soft Drinks,Japan
Q6904357,Brancott Estate,Montana Wines | Pernod Ricard Winemakers New Zealand Limited,company | wine company | artificial object | brand | viticulture plant | estate | winery,,
Q7053730,FIFCO USA,Florida Ice & Farm Co. USA | Florida Ice & Farm Company USA | North American Breweries,food manufacturer | factory | brewery,,
Q7084579,Old Mr. Boston,Mr. Boston,facility | architectural structure | factory | organization | distillery,,
Q7085196,Old Taylor,Old Taylor Bourbon,,,United States
Q7102771,Orion Breweries,"Orion Beer | Orion Breweries, Ltd.",business | enterprise | juridical person | organization | food manufacturer | factory | brewery,,
Q7158048,Pearl Brewing Company,Pearl Brewery,juridical person | organization | business,,
Q7190347,Piast Brewery,"Brauerei Pfeifferhof Carl Scholz | Browary Wrocławskie | Schultheiss- Brauerei AG Berlin, Abt. Breslau | Schultheiss- Patzenhofer- Brauerei AG, Abt. V | Schultheiss`Brauerei AG, Abt. V",food manufacturer | factory | brewery,,
Q75438,Żywiec Brewery,,food manufacturer | factory | brewery,,Poland
Q651259,Grand Marnier,,drink brand | trademark | alcoholic beverage | alcohol brand,,France
Q677981,Armand de Brignac,,artificial object | brand,,France
Q682660,Flensburger Brauerei,,food manufacturer | factory | brewery,,
Q685395,Bacardi,,drink brand | trademark | alcoholic beverage | alcohol brand | business | enterprise | juridical person | organization,,
Q685705,Ararat,,artificial object | brand | wine spirit | brandy,Yerevan Brandy Company,Armenia
Q686666,Feldschlösschen,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q687397,Ballantine's,,drink brand | trademark | alcoholic beverage | alcohol brand | whisky | blended whiskey,Pernod Ricard,Scotland
Q691552,list of beer and breweries by region,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,
Q694218,Krombacher Brauerei,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q696650,Gösser,,juridical person | organization | business | brewery | Q1548071,,
Q696787,Warsteiner,,food manufacturer | factory | brewery,,
Q697534,Staatliches Hofbräuhaus in München,,brewery | Hofbräu | publicly owned company | public enterprise | state-owned enterprise,,
Q701712,Courvoisier,,business | enterprise | juridical person | organization,,
Q706698,Bitburger brewery,,food manufacturer | factory | brewery,,
Q762996,Old Monk,,liquor | rum,Mohan Meakin Limited,India
Q768299,De Castellane,,viticulture plant | estate | winery,,
Q779760,Cattier Champagne,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q787066,Spaten-Franziskaner-Bräu,,food manufacturer | factory | brewery,,
Q787543,Vergelegen,,architectural ensemble | landed property | architectural structure | estate | viticulture plant | winery,,
Q790615,Amaro Averna,,mark | trademark,Campari Group,
Q795145,Tia Maria,,,ILLVA Saronno S.p.A.,Jamaica
Q6507783,Le Tourment Vert,,,,France
Q6511530,Lech Brewery Wielkopolski,,food manufacturer | factory | brewery,,Poland
Q6514242,Braastad,,juridical person | organization | business,,
Q6524508,Leon Beer,,,,
Q6535062,Level Vodka,,,,
Q6538431,Leżajsk Brewery,,food manufacturer | factory | brewery,,Poland
Q6555401,Lion Brewing and Malting Company,,food manufacturer | factory | brewery,,
Q6555438,Lion Red,,,,
Q6557309,Liqueur Fogg,,,,
Q6609493,list of cider brands,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,
Q6625475,list of liqueurs,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,
Q6649673,Little Creatures Brewery,,juridical person | organization | business,,
Q6663682,Lobethal Bierhaus,,mass caterer | facility | restaurant | food manufacturer | factory | brewery,,
Q6671478,Lone Tree Brewery,,juridical person | organization | business,,
Q6720756,Ma La Sun,,,,
