id,keyword,keyword_variants,optional,category,country,maker,extra,sources,aka
Kilkenny,kilkenny,kilkenny,beer|diageo,beer,,Diageo,,alkohole_wikidata,
Kulmbacher Brewery,kulmbacher-brewery,kulmbacher-brewery|kulmbacher,,,,,,alkohole_wikidata,
Sirop de Picon,sirop-de-picon,sirop-de-picon,,,,,,alkohole_wikidata,
Pommery,pommery,pommery,champagne,champagne,,,,alkohole_wikidata,
Brooklyn Brewery,brooklyn-brewery,brooklyn-brewery|brooklyn,,,,,,alkohole_wikidata,
Klosterbrauerei Andechs,klosterbrauerei-andechs,klosterbrauerei-andechs,,,,,,alkohole_wikidata,
Königsbacher,konigsbacher,konigsbacher,,,,,,alkohole_wikidata,
König Brauerei,konig-brauerei,konig-brauerei|konig,,,,,,alkohole_wikidata,
Royal Brewery of Krušovice,royal-brewery-of-krusovice,royal-brewery-of-krusovice,,,,,,alkohole_wikidata,
Tuborg Brewery,tuborg-brewery,tuborg-brewery|tuborg,,,,,,alkohole_wikidata,
Ruinart,ruinart,ruinart,france,,France,,,alkohole_wikidata,
Bloemenbier,bloemenbier,bloemenbier,beer|belgium|de-proefbrouwerij,beer,Belgium,De Proefbrouwerij,,alkohole_wikidata,
Anheuser-Busch brands,anheuser-busch-brands,anheuser-busch-brands|anheuser-busch,,,,,,alkohole_wikidata,
Mythos,mythos,mythos|mythos-brewery,,,,,,alkohole_wikidata,
Amaro Ramazzotti,amaro-ramazzotti,amaro-ramazzotti|ramazzotti,,,,,,alkohole_wikidata,
